ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2022-11-02 07:10:00,97.667,-72.46927763851761,274.8469157408126,97.667,97.667,97.667
2022-11-02 07:15:00,94.3128611111111,-75.62139819053866,268.00256491986823,94.3128611111111,94.3128611111111,94.3128611111111
2022-11-02 07:20:00,90.95872220438417,-98.35863356565989,256.35101390022277,90.95872220438417,90.95872220438417,90.95872220438417
2022-11-02 07:25:00,87.6045833097525,-95.62551002852658,253.55252039480027,87.6045833097525,87.6045833097525,87.6045833097525
2022-11-02 07:30:00,84.25044443013478,-84.75407951287833,271.64056136346676,84.25044443013478,84.25044443013478,84.25044443013478
2022-11-02 07:35:00,80.89630557010506,-88.69921912190298,270.51946908634847,80.89630557010506,80.89630557010506,80.89630557010506
2022-11-02 07:40:00,77.54216674902229,-117.36138526136955,245.19310181208812,77.54216674902229,77.54216674902229,77.54216674902229
2022-11-02 07:45:00,74.18802794171741,-115.70860983632771,260.28314434525976,74.18802794171741,74.18802794171741,74.18802794171741
2022-11-02 07:50:00,70.8338891075023,-114.16625347829996,246.22228523874512,70.8338891075023,70.8338891075023,70.8338891075023
2022-11-02 07:55:00,67.47975027328718,-100.57166497279663,238.38409436881457,67.47975027328718,67.47975027328718,67.47975027328718
2022-11-03 07:55:00,-898.5122339806649,-1074.0961754743576,-718.8109873050688,-898.5122339806649,-898.5123695169118,-898.512091004419
2022-11-04 07:55:00,-1864.5042182346167,-2039.501193485569,-1689.8480761793614,-1864.5042182346167,-1864.5046384760738,-1864.503780859933
2022-11-05 07:55:00,-2830.496202488568,-3012.749577393434,-2645.441868871242,-2830.496202488568,-2830.4969931405763,-2830.4953863837227
2022-11-06 07:55:00,-3796.48818674252,-3967.5303212641575,-3616.163046913408,-3796.48818674252,-3796.4894482139125,-3796.4869405839595
2022-11-07 07:55:00,-4762.480170996472,-4960.615698359627,-4594.313245099324,-4762.480170996472,-4762.481947308357,-4762.478370888134
2022-11-08 07:55:00,-5728.472155250424,-5901.734571723348,-5539.854829049217,-5728.472155250424,-5728.47454469111,-5728.469693561023
2022-11-09 07:55:00,-6694.464139504376,-6873.195800486799,-6506.1572844652665,-6694.464139504376,-6694.467156793843,-6694.460997632609
2022-11-10 07:55:00,-7660.4561237583275,-7839.1222034072525,-7473.633817750587,-7660.4561237583275,-7660.459842832919,-7660.452237175238
2022-11-11 07:55:00,-8626.44810801228,-8806.85402425064,-8436.482718029862,-8626.44810801228,-8626.452571403437,-8626.443335081603
2022-11-12 07:55:00,-9592.440092266232,-9767.023282088141,-9413.38854814499,-9592.440092266232,-9592.445260891674,-9592.434388076494
